"","INSTNM","PREDDEG","CURROPER","TUITIONFEE_IN","TUITIONFEE_OUT","COSTT4_A","C150_4","EARN","CONTROL","UGDS_WHITE","UGDS_BLACK","UGDS_ASIAN","UGDS_HISP","ADM_RATE","SAT_AVG","NPT4_PUB","AVGFACSAL"
"291","Citrus College",2,1,814,814,7387,NA,"23400",1,0.2031,0.0379,0.0417,0.3398,NA,NA,2421,9013
"292","City College of San Francisco",2,1,738,5585,8028,NA,"26400",1,0.2626,0.0792,0.3627,0.17,NA,NA,3189,8793
"293","Claremont Graduate University",4,1,NA,NA,NA,NA,"62200",2,NA,NA,NA,NA,NA,NA,NA,12113
"294","Claremont McKenna College",3,1,38510,38510,50990,0.9261,"52200",2,0,0,0,0,0.163,1389,NA,10528
"295","Milan Institute",1,1,NA,NA,NA,NA,"20800",3,0.257,0.0155,0.0093,0.6285,NA,NA,NA,NA
"296","Cleveland Chiropractic College of Los Angeles",3,0,8876,8876,35201,0.4828,"20400",2,0.4247,0.0548,0.1644,0.0822,NA,NA,NA,6016
"297","Clovis Adult Education",1,1,NA,NA,NA,NA,"32500",1,0,0,0,0,NA,NA,NA,NA
"298","Coastline Community College",2,1,650,4586,13595,NA,"26500",1,0.3827,0.1047,0.2188,0.1845,NA,NA,8715,10370
"299","Cogswell Polytechnical College",3,1,18036,18036,26866,0.3462,"40200",2,0.5885,0.0365,0.0208,0.1198,0.8947,1140,NA,7348
"300","Coleman University",1,1,34120,34120,39484,0.4222,"39800",2,0.4906,0.1151,0.1472,0.1755,1,NA,NA,3664
"301","COBA Academy",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0.4796,0.0408,0.0408,0.3776,NA,NA,NA,NA
"302","Western University of Health Sciences",4,1,NA,NA,NA,NA,"95600",2,NA,NA,NA,NA,NA,NA,NA,8263
"303","Columbia College",2,1,670,5230,13125,NA,"19500",1,0.6324,0.0497,0.0241,0.1214,NA,NA,8429,7194
"304","Columbia College Hollywood",3,1,16820,16820,27376,0.2553,"31400",2,0.5455,0.1026,0.0323,0.1877,0.6364,NA,NA,2000
"305","El Camino College-Compton Center",2,1,794,794,12246,NA,"24700",1,0.0308,0.5076,0.054,0.315,NA,NA,7518,8550
"306","Western Beauty Institute",1,0,NA,NA,NA,NA,"15200",3,0,0,0,0,NA,NA,NA,NA
"307","Contra Costa College",2,1,738,5960,13496,NA,"23800",1,0.1349,0.2777,0.2027,0.2523,NA,NA,8343,8964
"308","Cosumnes River College",2,1,654,5214,9396,NA,"23500",1,0.2693,0.1262,0.2508,0.1922,NA,NA,4314,8157
"309","Crafton Hills College",1,1,678,678,10181,NA,"24700",1,0.5435,0.0439,0.0504,0.2932,NA,NA,5477,7877
"310","Cuesta College",2,1,860,4480,12796,NA,"26800",1,0.6754,0.0115,0.0351,0.1634,NA,NA,8764,7647
"311","Cuyamaca College",2,1,806,6142,7085,NA,"21700",1,0.4985,0.0686,0.068,0.2234,NA,NA,2039,8127
"312","Marinello Schools of Beauty",1,0,NA,NA,NA,NA,"13900",3,0.0062,0.0062,0,0.9815,NA,NA,NA,NA
"313","Cypress College",2,1,656,4592,5910,NA,"28500",1,0.245,0.0487,0.2159,0.2806,NA,NA,1365,10726
"314","De Anza College",2,1,891,5616,7141,NA,"28600",1,0.2262,0.0322,0.36,0.1488,NA,NA,2095,9330
"315","Marinello Schools of Beauty",1,1,NA,NA,NA,NA,"13300",3,0.3551,0.0818,0.014,0.5234,NA,NA,NA,NA
"316","International School of Beauty Inc",1,1,NA,NA,NA,NA,NA,3,0,0,0,0,NA,NA,NA,NA
"317","Dell'Arte International School of Physical Theatre",1,1,NA,NA,NA,1,"PrivacySuppressed",2,0.5556,0.0741,0.037,0.0741,0,NA,NA,3193
"318","College of the Desert",2,1,762,5606,10208,NA,"26100",1,0.2113,0.0219,0.0316,0.5167,NA,NA,5171,8894
"319","Design Institute of San Diego",3,1,15700,15700,26118,0.3913,"30100",3,0,0,0,0,0.6494,NA,NA,5362
"320","DeVry University-California",3,1,14592,14592,27880,0.2869,"40300",3,0.2673,0.1151,0.1544,0.3672,0.6833,NA,NA,6076
"321","Diablo Valley College",2,1,738,5960,12907,NA,"27400",1,0.4237,0.052,0.156,0.128,NA,NA,8200,9131
"322","Dominican University of California",3,1,33840,33840,48730,0.5,"46500",2,0.375,0.0604,0.2237,0.1683,0.5275,1032,NA,7174
"323","Dominican School of Philosophy & Theology",3,1,NA,NA,NA,NA,"PrivacySuppressed",2,NA,NA,NA,NA,NA,NA,NA,2741
"324","East Los Angeles College",1,1,722,6034,10445,NA,"25200",1,0.0755,0.0327,0.1309,0.616,NA,NA,5748,7089
"325","Marinello Schools of Beauty",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0.289,0.1529,0.081,0.4373,NA,NA,NA,NA
"326","San Diego Continuing Education",0,0,NA,NA,NA,NA,"PrivacySuppressed",1,NA,NA,NA,NA,NA,NA,NA,NA
"327","El Camino Community College District",2,1,794,5414,9250,NA,"24700",1,0.1951,0.1588,0.1496,0.3416,NA,NA,4285,9107
"328","Elegance International",1,1,NA,NA,NA,NA,"18000",3,0,0,0,0,0.8,NA,NA,NA
"329","Marinello Schools of Beauty",1,0,NA,NA,NA,NA,"16600",3,0.1576,0.1394,0.0667,0.6182,NA,NA,NA,NA
"330","Marinello Schools of Beauty",1,1,NA,NA,NA,NA,"12700",3,0.4878,0.1138,0.0379,0.3469,NA,NA,NA,NA
"331","Marinello Schools of Beauty",1,1,NA,NA,NA,NA,"14300",3,0.1289,0.1653,0.0224,0.6499,NA,NA,NA,NA
"332","Emperor's College of Traditional Oriental Medicine",4,1,NA,NA,NA,NA,"PrivacySuppressed",3,NA,NA,NA,NA,NA,NA,NA,NA
"333","Empire College School of Business",1,1,NA,NA,NA,NA,"26700",3,0.6128,0.0474,0.0334,0.2744,NA,NA,NA,4177
"334","Evergreen Valley College",2,1,764,6112,12750,NA,"26500",1,0.1146,0.0404,0.3308,0.3046,NA,NA,7800,8804
"335","The Fashion Institute of Design & Merchandising-Los Angeles",2,1,25536,25536,34474,0.6022,"30400",3,0.4285,0.0478,0.1232,0.2021,0.6829,NA,NA,3951
"336","Fashion Careers College",1,0,20400,20400,26417,NA,"24700",3,0,0,0,0,NA,NA,NA,NA
"337","The Fashion Institute of Design & Merchandising-San Francisco",2,1,25536,25536,33896,NA,"30400",3,0.3941,0.0489,0.1748,0.1965,0.8406,NA,NA,3262
"338","The Fashion Institute of Design & Merchandising-Orange County",2,1,25536,25536,33985,NA,"30400",3,0.4241,0.034,0.1466,0.2565,0.759,NA,NA,3264
"339","Feather River Community College District",2,1,859,6559,12370,NA,"18500",1,0.6783,0.0959,0.0149,0.077,NA,NA,7947,8202
"340","Federico Beauty Institute",1,1,NA,NA,NA,NA,"20300",3,0.5226,0.1235,0.0658,0.2593,NA,NA,NA,NA
"341","Fielding Graduate University",4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,6211
"342","Five Branches University",4,1,NA,NA,NA,NA,"PrivacySuppressed",2,NA,NA,NA,NA,NA,NA,NA,NA
"343","Hair California Beauty Academy",1,1,NA,NA,NA,NA,NA,3,0.4194,0.0065,0.071,0.4645,NA,NA,NA,NA
"344","Foothill College",2,1,894,5619,9429,NA,"40000",1,0.4061,0.0322,0.1991,0.1369,NA,NA,5441,9387
"345","Franciscan School of Theology",4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,7202
"346","Fredrick and Charles Beauty College",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0,0,0,0,1,NA,NA,NA
"347","Fresno City College",2,1,658,5074,9911,NA,"21500",1,0.2682,0.0775,0.1535,0.3768,NA,NA,5132,9064
"348","Fresno Pacific University",3,1,23898,23898,33378,0.625,"34800",2,0.4533,0.0612,0.0284,0.342,0.5112,975,NA,5961
"349","Fuller Theological Seminary in California",4,1,NA,NA,NA,NA,"PrivacySuppressed",2,NA,NA,NA,NA,NA,NA,NA,7726
"350","Fullerton College",2,1,656,5072,5110,NA,"25200",1,0.1731,0.0201,0.0819,0.2105,NA,NA,373,10760
"351","Galen College of Medical and Dental Assistants",1,0,NA,NA,NA,NA,"21800",3,0,0,0,0,NA,NA,NA,NA
"352","Gavilan College",2,1,677,5333,10936,NA,"23400",1,0.0013,0.0058,0.0302,0.3598,NA,NA,6244,8013
"353","Gemological Institute of America",1,1,NA,NA,NA,NA,"37500",2,0,0,0,0,NA,NA,NA,NA
"354","Glendale Community College",2,1,689,5033,6977,NA,"23600",1,0.4988,0.0211,0.106,0.1955,NA,NA,1685,8796
"355","Glendale Career College",1,1,NA,NA,NA,NA,"25500",3,0,0,0,0,NA,NA,NA,NA
"356","Golden Gate University-San Francisco",3,1,NA,NA,17160,0,"58000",2,0.3515,0.104,0.1658,0.1139,0.875,NA,NA,10680
"357","Golden West College",2,1,687,4862,8434,NA,"23500",1,0.3951,0.0178,0.277,0.2077,NA,NA,3343,9873
"358","Graduate Theological Union",4,1,NA,NA,NA,NA,"PrivacySuppressed",2,NA,NA,NA,NA,NA,NA,NA,7503
"359","Grossmont College",2,1,806,6142,6043,NA,"27000",1,0.4731,0.0774,0.0888,0.209,NA,NA,1468,7908
"360","Salon Success Academy",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0,0,0,0,NA,NA,NA,NA
"361","Hartnell College",2,1,788,5816,12066,NA,"24100",1,0.1725,0.0283,0.0587,0.5423,NA,NA,7476,8542
"362","Harvey Mudd College",3,1,38467,38467,50306,0.9063,"60300",2,0,0,0,0,0.3205,1490,NA,11111
"363","Heald College-Rancho Cordova",2,0,12315,12315,23099,NA,"29400",3,0,0,0,0,NA,NA,NA,4499
"364","Heald College-Fresno",2,0,12315,12315,21977,NA,"22900",3,0,0,0,0,NA,NA,NA,3670
"365","Heald College-San Jose",2,0,12315,12315,23327,NA,"30700",3,0,0,0,0,NA,NA,NA,4450
"366","Heald College-San Francisco",2,0,12315,12315,23720,NA,"29400",3,0,0,0,0,NA,NA,NA,4472
"367","Heald College-Concord",2,0,12315,12315,21155,NA,"31500",3,0,0,0,0,NA,NA,NA,4113
"368","Hilltop Beauty School",1,1,NA,NA,NA,NA,"15100",3,0,0,0,0,NA,NA,NA,NA
"369","Holy Names University",3,1,27340,27340,39268,0.3509,"45800",2,0.1903,0.1713,0.0173,0.1799,0.7655,876,NA,7180
"370","Pacifica Graduate Institute",4,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,6766
"371","Humboldt State University",3,1,5171,16331,16629,0.415,"26300",1,0,0,0,0,0.7546,1046,10018,7984
"372","Humphreys College-Stockton and Modesto Campuses",3,1,9648,9648,18912,0.0549,"26200",2,0,0,0,0,NA,NA,NA,4973
"373","Imperial Valley College",2,1,763,6121,8052,NA,"18800",1,0.0543,0.0102,0.0091,0.6535,NA,NA,2915,7706
"374","Institute for Business and Technology",1,1,NA,NA,NA,NA,"31000",3,0,0,0,0,0.8452,NA,NA,NA
"375","LA College International",2,0,NA,NA,NA,0.4741,"29200",3,0.5212,0.3345,0.017,0.0849,NA,NA,NA,NA
"376","Interior Designers Institute",1,1,NA,NA,NA,NA,"26100",3,0,0,0,0,NA,NA,NA,4263
"377","Toni & Guy Hairdressing Academy",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0.5405,0.0135,0.0811,0.2432,1,NA,NA,NA
"378","Irvine Valley College",1,1,658,6461,12423,NA,"27200",1,0.4457,0.0222,0.2768,0.1422,NA,NA,7576,9715
"379","ITT Technical Institute-San Diego",2,0,17148,17148,25211,0.2825,"36000",3,0,0.0853,0.014,0,0.503,NA,NA,5331
"380","ITT Technical Institute-San Dimas",2,0,17148,17148,25078,0.4194,"31400",3,0,0.0379,0.0019,0,0.4863,NA,NA,5179
"381","ITT Technical Institute-Anaheim",2,0,17148,17148,24958,0.4388,"34200",3,0,0.0158,0.0116,0,0.5282,NA,NA,5597
"382","J Boutique College of Beauty",1,1,NA,NA,NA,NA,"18300",3,0,0,0,0,NA,NA,NA,NA
"383","Jesuit School of Theology of Santa Clara University",4,1,NA,NA,NA,NA,"54700",2,NA,NA,NA,NA,NA,NA,NA,5388
"384","John F Kennedy University",3,1,NA,NA,NA,NA,"41000",2,0.4571,0.0964,0.05,0.1143,NA,NA,NA,5649
"385","American Jewish University",3,1,22352,22352,34693,0.2778,"PrivacySuppressed",2,0,0,0,0,0.9623,942,NA,7011
"386","Reedley College",2,1,658,5074,8738,NA,"21000",1,0.3464,0.0254,0.0596,0.4514,NA,NA,3907,8933
"387","Life Pacific College",3,1,12500,12500,22382,0.38,"22600",2,0,0,0,0,0.8136,970,NA,5934
"388","The Art Institute of California-San Diego",3,0,24144,24144,35764,0.5108,"30400",3,0,0,0,0,0.3274,NA,NA,5236
"389","University of La Verne",3,1,28250,28250,38825,0.6737,"42200",2,0,0,0,0,0.5926,990,NA,8416
"390","Laguna College of Art and Design",3,1,21600,21600,33769,0.3529,"23200",2,0,0,0,0,0.4711,NA,NA,7008
"391","Lake Tahoe Community College",2,1,687,5940,9571,NA,"17800",1,0.6624,0.0055,0.036,0.1393,NA,NA,5819,7416
"392","Lancaster Beauty School",1,1,NA,NA,NA,NA,"15700",3,0,0,0,0,NA,NA,NA,NA
"393","Laney College",2,1,796,5396,10175,NA,"20000",1,0.1185,0.2421,0.2403,0.0989,NA,NA,5132,8096
"394","Lassen Community College",1,1,647,5207,14084,NA,"22500",1,0.6787,0.0825,0.0158,0.1349,NA,NA,9759,7188
"395","Life Chiropractic College-West",4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4867
"396","Lincoln University",2,1,8385,8385,18765,1,"PrivacySuppressed",2,0,0,0,0,NA,NA,NA,3158
"397","Southern California Seminary",3,1,12552,12552,34344,0,"PrivacySuppressed",2,0,0,0,0,NA,NA,NA,3321
"398","La Sierra University",3,1,24773,24773,34076,0.3223,"33700",2,0,0,0,0,0.5256,964,NA,6504
"399","Loma Linda University",3,1,NA,NA,NA,NA,"73900",2,0.4259,0.0429,0.239,0.1839,NA,NA,NA,6933
"400","Long Beach City College",1,1,800,6120,9819,NA,"23000",1,0.2567,0.15,0.1437,0.3488,NA,NA,5180,8962
"401","Southern California University of Health Sciences",4,1,NA,NA,NA,NA,"PrivacySuppressed",2,NA,NA,NA,NA,NA,NA,NA,4318
"402","Los Angeles Harbor College",2,1,722,6034,9137,NA,"26300",1,0.1719,0.1321,0.1383,0.4432,NA,NA,4730,7719
"403","Los Angeles Pierce College",2,1,722,6034,10863,NA,"26700",1,0.331,0.055,0.1384,0.3242,NA,NA,6062,7635
"404","Los Angeles Southwest College",2,1,722,6034,13397,NA,"22400",1,0.0122,0.6743,0.0197,0.192,NA,NA,8853,6560
"405","Los Angeles Trade Technical College",1,1,722,6034,11825,NA,"22000",1,0.0657,0.2727,0.0626,0.4991,NA,NA,7195,7937
"406","Los Angeles Valley College",2,1,722,6034,11219,NA,"25100",1,0.306,0.0576,0.0943,0.3916,NA,NA,6621,8144
"407","The Master's College and Seminary",3,1,24670,24670,34147,0.6202,"32100",2,0.7637,0.0254,0.0456,0.0811,0.509,1108,NA,7490
"408","Los Angeles City College",2,1,722,6034,11700,NA,"21600",1,0.2018,0.1172,0.1656,0.386,NA,NA,6899,8030
"409","Los Angeles County College of Nursing and Allied Health",2,1,NA,NA,NA,NA,"84000",1,0.2366,0.0852,0.2808,0.3975,NA,NA,NA,8773
"410","Los Angeles Mission College",2,1,722,6034,10941,NA,"25000",1,0.1061,0.0471,0.0594,0.6827,NA,NA,6518,6476
"411","Los Medanos College",2,1,738,5960,13066,NA,"26400",1,0.3367,0.169,0.1019,0.2554,NA,NA,8202,8820
"412","The Art Institute of California-San Francisco",3,0,24294,24294,35858,0.3541,"30800",3,0,0,0,0,0.3229,NA,NA,5447
"413","Loyola Marymount University",3,1,35419,35419,48922,0.7986,"43100",2,0,0,0,0,0.5916,1182,NA,10044
"414","Lu Ross Academy",1,1,NA,NA,NA,NA,NA,3,0.4902,0.0098,0.0294,0.451,NA,NA,NA,NA
"415","Manchester Beauty College",1,0,NA,NA,NA,NA,"16100",3,0.2609,0.1217,0.2261,0.3826,NA,NA,NA,NA
"416","Tulare Beauty College",1,0,NA,NA,NA,NA,"PrivacySuppressed",3,0.3085,0.0106,0,0.6596,NA,NA,NA,NA
"417","Lyles Bakersfield College of Beauty",1,1,NA,NA,NA,NA,"13300",3,0,0,0,0,NA,NA,NA,NA
"418","Lyles College of Beauty",1,1,NA,NA,NA,NA,"13300",3,0,0,0,0,NA,NA,NA,NA
"419","Lytles Redwood Empire Beauty College Inc",1,1,NA,NA,NA,NA,"19300",3,0,0,0,0,0.3611,NA,NA,NA
"420","MTI Business College Inc",1,1,NA,NA,NA,NA,"21700",3,0,0,0,0,NA,NA,NA,NA
"421","MTI College",1,1,NA,NA,NA,NA,"30400",3,0.3351,0.0577,0.036,0.0523,0.6169,NA,NA,3552
"422","Kaplan College-Sacramento Campus",1,1,NA,NA,NA,NA,"21200",3,0.0521,0.0536,0.0184,0.1715,NA,NA,NA,4296
"423","Kaplan College-San Diego",1,1,NA,NA,NA,NA,"33700",3,0.1633,0.0478,0.1498,0.2447,NA,NA,NA,5559
"424","Kaplan College-Vista",1,1,NA,NA,NA,NA,"28300",3,0.0729,0.0097,0.0081,0.0777,NA,NA,NA,4052
"425","College of Marin",2,1,776,6516,15903,NA,"28200",1,0.6151,0.0503,0.0764,0.1439,NA,NA,12386,9698
"426","Marinello School of Beauty",1,1,NA,NA,NA,NA,"14900",3,0.161,0.1566,0.0282,0.5822,NA,NA,NA,NA
"427","Marymount College",2,1,24582,24582,35754,NA,"26700",2,0.3691,0,0.0668,0,0.6119,NA,NA,6799
"428","Mendocino College",2,1,666,4602,12744,NA,"21800",1,0.5635,0.0161,0.0201,0.1578,NA,NA,7987,8417
"429","Menlo College",3,1,32120,32120,46436,0.3522,"38900",2,0,0,0,0,0.5174,966,NA,8218
"430","Mennonite Brethren Biblical Seminary",4,0,NA,NA,NA,NA,"PrivacySuppressed",2,NA,NA,NA,NA,NA,NA,NA,5037
