"","INSTNM","PREDDEG","CURROPER","TUITIONFEE_IN","TUITIONFEE_OUT","COSTT4_A","C150_4","EARN","CONTROL","UGDS_WHITE","UGDS_BLACK","UGDS_ASIAN","UGDS_HISP","ADM_RATE","SAT_AVG","NPT4_PUB","AVGFACSAL"
"245","California State University-Dominguez Hills",3,1,4645,15805,9400,0.349,"36600",1,0,0,0,0,0.4974,804,2407,8199
"246","California State University-Fresno",3,1,4672,15832,14115,0.4777,"34500",1,0,0,0,0,0.7014,926,5495,7920
"247","California State University-Fullerton",3,1,4662,15622,12177,0.5165,"36500",1,0,0,0,0,0.5959,983,5733,8300
"248","California State University-East Bay",3,1,4872,16032,15071,0.4762,"43100",1,0,0,0,0,0.7188,892,8183,8468
"249","California State University-Long Beach",3,1,4370,15530,13999,0.5442,"37400",1,0,0,0,0,0.4199,1010,7324,8411
"250","California State University-Los Angeles",3,1,4640,15800,11472,0.3372,"36700",1,0,0,0,0,0.7651,846,3962,8666
"251","California State University-Northridge",3,1,4801,15961,16759,0.4373,"35100",1,0,0,0,0,0.7475,919,12544,8297
"252","California State University-Sacramento",3,1,4900,16060,17102,0.4389,"39900",1,0,0,0,0,0.669,948,9887,8111
"253","University of California-Berkeley",3,1,8998,31715,26275,0.9017,"47100",1,0,0,0,0,0.2146,1318,13846,12405
"254","University of California-Davis",3,1,10003,32720,24599,0.7983,"41800",1,0,0,0,0,0.5257,1166,13696,10624
"255","University of California-Irvine",3,1,9363,32080,23283,0.817,"40600",1,0,0,0,0,0.4872,1172,14045,10694
"256","University of California-Los Angeles",3,1,8911,31628,24725,0.8925,"44100",1,0,0,0,0,0.2284,1266,12499,12695
"257","University of California-Riverside",3,1,9152,31869,23036,0.6502,"35400",1,0,0,0,0,0.8426,1036,11885,9955
"258","University of California-San Diego",3,1,9437,32154,23433,0.8439,"42500",1,0,0,0,0,0.3988,1247,12848,11278
"259","University of California-San Francisco",3,1,NA,NA,NA,NA,"109500",1,NA,NA,NA,NA,NA,NA,NA,9635
"260","University of California-Santa Barbara",3,1,9722,32439,26336,0.8018,"39600",1,0,0,0,0,0.4925,1182,14034,11076
"261","University of California-Santa Cruz",3,1,9507,32224,25875,0.7331,"32400",1,0,0,0,0,0.717,1143,16122,10121
"262","Institute of Transpersonal Psychology",4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,6920
"263","California Beauty School",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0,0,0,0,NA,NA,NA,NA
"264","California Christian College",2,1,7420,7420,11921,0.4,"PrivacySuppressed",2,0.3448,0.1379,0.069,0.3793,1,NA,NA,1895
"265","California College-San Diego",2,1,NA,NA,NA,0.6806,"44600",3,0.2394,0.2002,0,0.2794,NA,NA,NA,5086
"266","California Culinary Academy",2,1,15536,15536,35933,NA,"30400",3,0.0564,0.0184,0.0299,0.0242,NA,NA,NA,5120
"267","California Hair Design Academy",1,1,NA,NA,NA,NA,"15300",3,0,0,0,0,NA,NA,NA,NA
"268","California Institute of the Arts",3,1,35406,35406,48784,0.6,"24000",2,0,0,0,0,0.2827,NA,NA,7215
"269","California Maritime Academy",3,1,5090,16250,18466,0.6867,"66600",1,0,0,0,0,0.7422,1065,13517,7748
"270","California Western School of Law",4,1,NA,NA,NA,NA,"70100",2,NA,NA,NA,NA,NA,NA,NA,12270
"271","Canada College",1,1,780,6128,9772,NA,"28700",1,0.38,0.0453,0.1147,0.3427,NA,NA,5273,8455
"272","College of the Canyons",2,1,826,5626,10830,NA,"29100",1,0.4815,0.0613,0.081,0.3358,NA,NA,7140,9249
"273","Career Academy of Beauty",1,1,NA,NA,NA,NA,"15500",3,0,0,0,0,NA,NA,NA,NA
"274","Casa Loma College-Van Nuys",1,1,NA,NA,NA,NA,"45100",2,0.1523,0.2815,0.1921,0.3361,0.9091,NA,NA,5991
"275","CET-San Diego",1,1,NA,NA,NA,NA,"20600",2,0,0,0,0,NA,NA,NA,NA
"276","CET-Sobrato",1,1,NA,NA,NA,NA,"20600",2,0,0,0,0,NA,NA,NA,NA
"277","CET-El Centro",1,1,NA,NA,NA,NA,"20600",2,0,0,0,0,NA,NA,NA,NA
"278","CET-San Bernardino",1,1,NA,NA,NA,NA,"20600",2,0,0,0,0,NA,NA,NA,NA
"279","CET-Watsonville",1,1,NA,NA,NA,NA,"20600",2,0,0,0,0,NA,NA,NA,NA
"280","CET-Gilroy",1,0,NA,NA,NA,NA,"20600",2,0,0,0,0,NA,NA,NA,NA
"281","CET-Salinas",1,1,NA,NA,NA,NA,"20600",2,0,0,0,0,NA,NA,NA,NA
"282","Cerritos College",2,1,780,5372,7041,NA,"24600",1,0.0848,0.0558,0.0889,0.4106,NA,NA,2250,9004
"283","Cerro Coso Community College",2,1,624,5448,7861,NA,"20600",1,0.662,0.0439,0.0525,0.144,NA,NA,3456,8885
"284","Chabot College",2,1,560,5600,11080,NA,"26700",1,0.2147,0.1507,0.246,0.274,NA,NA,6641,9566
"285","Chaffey College",2,1,710,5650,10057,NA,"23900",1,0.2559,0.0459,0.1099,0.431,NA,NA,5124,9161
"286","Chapman University",3,1,36764,36764,47735,0.7292,"45100",2,0,0,0,0,0.5631,1226,NA,10208
"287","Charles Drew University of Medicine and Science",1,1,11300,11300,NA,0.5663,"67500",2,0.1333,0.3,0.1667,0.2048,NA,NA,NA,5263
"288","Concordia University",3,1,24950,24950,36260,0.65,"34700",2,0,0,0,0,0.6225,1023,NA,5623
"289","San Diego Christian College",3,1,21610,21610,33256,0.439,"29300",2,0,0,0,0,0.5961,931,NA,4873
"290","Church Divinity School of the Pacific",4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,5699
